line,tri,source
0,"[{'h': 'Cactus', 't': 'David Lyons', 'r': 'feature', 'c': 0.0}, {'h': 'Cactus', 't': 'the lead roles', 'r': 'feature', 'c': 0.0}, {'h': 'a movie', 't': 'the lead roles', 'r': 'feature', 'c': 0.0}, {'h': 'a movie', 't': 'David Lyons', 'r': 'feature', 'c': 0.0}, {'h': 'The movie', 't': 'Black Francis', 'r': 'write', 'c': 0.0}, {'h': 'The movie', 't': 'two writers', 'r': 'write', 'c': 0.0}, {'h': 'The movie', 't': 'Bob Ellis', 'r': 'write', 'c': 0.0}]","Cactus is a movie that features David Lyons in one of the lead roles. The movie was written by two writers, Black Francis and Bob Ellis."
1,"[{'h': 'The movie', 't': 'Betty Garde', 'r': 'cage', 'c': 0.0}, {'h': 'The movie', 't': 'Victor Reinier', 'r': 'feature', 'c': 0.0}, {'h': 'The movie', 't': 'Betty Garde', 'r': 'feature', 'c': 0.0}, {'h': 'The movie', 't': 'Victor Reinier', 'r': 'cage', 'c': 0.0}, {'h': 'The movie', 't': 'a talented cast', 'r': 'cage', 'c': 0.0}, {'h': 'The movie', 't': 'a talented cast', 'r': 'feature', 'c': 0.0}, {'h': 'The movie', 't': 'Éric Savin', 'r': 'cage', 'c': 0.0}, {'h': 'The movie', 't': 'Angela Sarafyan', 'r': 'feature', 'c': 0.0}, {'h': 'The movie', 't': 'Angela Sarafyan', 'r': 'cage', 'c': 0.0}, {'h': 'The movie', 't': 'Éric Savin', 'r': 'feature', 'c': 0.0}]","The movie ""Caged"" features a talented cast including Betty Garde, Victor Reinier, Éric Savin, and Angela Sarafyan."
2,"[{'h': 'The movie ""Cake', 't': 'Sandra Oh', 'r': 'feature', 'c': 0.0}, {'h': 'The movie ""Cake', 't': 'Sam Worthington', 'r': 'feature', 'c': 0.0}, {'h': 'The movie ""Cake', 't': 'a star-studded cast', 'r': 'feature', 'c': 0.0}, {'h': 'The movie ""Cake', 't': 'Sanam Saeed', 'r': 'feature', 'c': 0.0}, {'h': 'addition', 't': 'an artist', 'r': 'feature', 'c': 0.0}, {'h': 'addition', 't': 'Flo Rida', 'r': 'feature', 'c': 0.0}, {'h': 'these notable actors', 't': 'the musical talents', 'r': 'feature', 'c': 0.0}, {'h': 'addition', 't': 'an artist', 'r': 'credit', 'c': 0.0}, {'h': 'the film', 't': 'the musical talents', 'r': 'feature', 'c': 0.0}, {'h': 'these notable actors', 't': 'an artist', 'r': 'feature', 'c': 0.0}, {'h': 'these notable actors', 't': 'Flo Rida', 'r': 'feature', 'c': 0.0}, {'h': 'these notable actors', 't': 'an artist', 'r': 'credit', 'c': 0.0}, {'h': 'addition', 't': 'the musical talents', 'r': 'feature', 'c': 0.0}, {'h': 'the film', 't': 'Flo Rida', 'r': 'feature', 'c': 0.0}, {'h': 'the film', 't': 'an artist', 'r': 'feature', 'c': 0.0}, {'h': 'the film', 't': 'an artist', 'r': 'credit', 'c': 0.0}, {'h': 'the musical talents', 't': 'an artist', 'r': 'credit', 'c': 0.0}, {'h': 'Flo Rida', 't': 'an artist', 'r': 'credit', 'c': 0.0}]","The movie ""Cake"" features a star-studded cast, including Sam Worthington, Sanam Saeed, and Sandra Oh. In addition to these notable actors, the film also features the musical talents of Flo Rida, who is credited as an artist."
3,"[{'h': 'Calcutta', 't': 'Gail Russell', 'r': 'feature', 'c': 0.0}, {'h': 'a movie', 't': 'its stars', 'r': 'feature', 'c': 0.0}, {'h': 'Louis Malle', 't': 'Gail Russell', 'r': 'feature', 'c': 0.0}, {'h': 'Louis Malle', 't': 'its stars', 'r': 'feature', 'c': 0.0}, {'h': 'a movie', 't': 'Gail Russell', 'r': 'feature', 'c': 0.0}, {'h': 'Calcutta', 't': 'its stars', 'r': 'feature', 'c': 0.0}, {'h': 'The screenplay', 't': 'Heino Gaze', 'r': 'write', 'c': 0.0}, {'h': 'this film', 't': 'Heino Gaze', 'r': 'write', 'c': 0.0}]","Calcutta, a movie directed by Louis Malle, features Gail Russell as one of its stars. The screenplay for this film was written by Heino Gaze."
5,"[{'h': 'a movie', 't': 'Barry Fitzgerald', 'r': 'star', 'c': 0.0}, {'h': 'California', 't': 'Faith Domergue', 'r': 'star', 'c': 0.0}, {'h': 'California', 't': 'Barry Fitzgerald', 'r': 'star', 'c': 0.0}, {'h': 'a movie', 't': 'Faith Domergue', 'r': 'star', 'c': 0.0}, {'h': 'the movie', 't': 'musical contributions', 'r': 'feature', 'c': 0.0}, {'h': 'the movie', 't': 'Lenny Kravitz', 'r': 'feature', 'c': 0.0}, {'h': 'the movie', 't': 'artists', 'r': 'feature', 'c': 0.0}, {'h': 'musical contributions', 't': 'writers', 'r': 'work', 'c': 0.0}, {'h': 'the movie', 't': 'Joni Mitchell', 'r': 'feature', 'c': 0.0}, {'h': 'the movie', 't': 'Usher', 'r': 'feature', 'c': 0.0}, {'h': 'musical contributions', 't': 'the project', 'r': 'work', 'c': 0.0}, {'h': 'the movie', 't': 'writers', 'r': 'feature', 'c': 0.0}, {'h': 'the movie', 't': 'writers', 'r': 'work', 'c': 0.0}, {'h': 'the movie', 't': 'the project', 'r': 'work', 'c': 0.0}, {'h': 'the movie', 't': 'the project', 'r': 'feature', 'c': 0.0}, {'h': 'artists', 't': 'writers', 'r': 'work', 'c': 0.0}, {'h': 'artists', 't': 'the project', 'r': 'work', 'c': 0.0}, {'h': 'Joni Mitchell', 't': 'writers', 'r': 'work', 'c': 0.0}, {'h': 'Joni Mitchell', 't': 'the project', 'r': 'work', 'c': 0.0}, {'h': 'Lenny Kravitz', 't': 'the project', 'r': 'work', 'c': 0.0}, {'h': 'Usher', 't': 'writers', 'r': 'work', 'c': 0.0}, {'h': 'Lenny Kravitz', 't': 'writers', 'r': 'work', 'c': 0.0}, {'h': 'Usher', 't': 'the project', 'r': 'work', 'c': 0.0}]","The movie ""Calendar Girl"" had three producers, including Penny Marshall and Kikka Hanazawa. Richard Sale was the writer for the film."
6,"[{'h': 'The hit song', 't': 'Me', 'r': 'call', 'c': 0.0}, {'h': 'The hit song', 't': 'Pandora', 'r': 'perform', 'c': 0.0}, {'h': 'The hit song', 't': 'Pandora', 'r': 'call', 'c': 0.0}, {'h': 'The hit song', 't': 'Deee-Lite', 'r': 'call', 'c': 0.0}, {'h': 'The hit song', 't': 'various artists', 'r': 'call', 'c': 0.0}, {'h': 'The hit song', 't': 'various artists', 'r': 'perform', 'c': 0.0}, {'h': 'The hit song', 't': 'Deee-Lite', 'r': 'perform', 'c': 0.0}, {'h': 'The hit song', 't': 'Skyy', 'r': 'call', 'c': 0.0}, {'h': 'The hit song', 't': 'Skyy', 'r': 'perform', 'c': 0.0}, {'h': 'The hit song', 't': 'Jamelia', 'r': 'call', 'c': 0.0}, {'h': 'The hit song', 't': 'Blondie', 'r': 'call', 'c': 0.0}, {'h': 'The hit song', 't': 'Jamelia', 'r': 'perform', 'c': 0.0}, {'h': 'The hit song', 't': 'Blondie', 'r': 'perform', 'c': 0.0}, {'h': 'Me', 't': 'various artists', 'r': 'perform', 'c': 0.0}, {'h': 'Me', 't': 'Blondie', 'r': 'perform', 'c': 0.0}, {'h': 'The hit song', 't': 'Anna Vissi', 'r': 'call', 'c': 0.0}, {'h': 'The hit song', 't': 'Anna Vissi', 'r': 'perform', 'c': 0.0}, {'h': 'Me', 't': 'Deee-Lite', 'r': 'perform', 'c': 0.0}, {'h': 'Me', 't': 'Anna Vissi', 'r': 'perform', 'c': 0.0}, {'h': 'Me', 't': 'Pandora', 'r': 'perform', 'c': 0.0}, {'h': 'Me', 't': 'Skyy', 'r': 'perform', 'c': 0.0}, {'h': 'Me', 't': 'Jamelia', 'r': 'perform', 'c': 0.0}, {'h': 'The song', 't': 'Peter Cox', 'r': 'write', 'c': 0.0}, {'h': 'The song', 't': 'Amir Esmailian', 'r': 'write', 'c': 0.0}, {'h': 'Arif Mardin', 't': 'Peter Cox', 'r': 'write', 'c': 0.0}, {'h': 'Arif Mardin', 't': 'Amir Esmailian', 'r': 'write', 'c': 0.0}, {'h': 'The song', 't': 'Missy Elliott', 'r': 'write', 'c': 0.0}, {'h': 'The song', 't': 'Amir Esmailian', 'r': 'produce', 'c': 0.0}, {'h': 'The song', 't': 'Arif Mardin', 'r': 'produce', 'c': 0.0}, {'h': 'The song', 't': 'Peter Cox', 'r': 'produce', 'c': 0.0}, {'h': 'Arif Mardin', 't': 'Missy Elliott', 'r': 'write', 'c': 0.0}, {'h': 'The song', 't': 'Missy Elliott', 'r': 'produce', 'c': 0.0}, {'h': 'The movie', 't': 'Me', 'r': 'call', 'c': 0.0}, {'h': 'Me', 't': 'actor Sam Freed', 'r': 'feature', 'c': 0.0}, {'h': 'The movie', 't': 'actor Sam Freed', 'r': 'feature', 'c': 0.0}, {'h': 'The movie', 't': 'actor Sam Freed', 'r': 'call', 'c': 0.0}, {'h': 'The movie', 't': 'a starring role', 'r': 'call', 'c': 0.0}, {'h': 'Me', 't': 'a starring role', 'r': 'feature', 'c': 0.0}, {'h': 'The movie', 't': 'a starring role', 'r': 'feature', 'c': 0.0}]","California is a movie that stars Barry Fitzgerald and Faith Domergue. The movie's producer is Big Kenny, while Peter Bernhard Kyne is one of its writers. Additionally, the movie features musical contributions from artists Joni Mitchell, Lenny Kravitz, and Usher, all of whom also worked as writers on the project."
7,"[{'h': 'The movie', 't': 'My Name', 'r': 'call', 'c': 0.0}, {'h': 'My Name', 't': 'its creation', 'r': 'involve', 'c': 0.0}, {'h': 'The movie', 't': 'three notable artists', 'r': 'call', 'c': 0.0}, {'h': 'three notable artists', 't': 'its creation', 'r': 'involve', 'c': 0.0}, {'h': 'The movie', 't': 'its creation', 'r': 'call', 'c': 0.0}, {'h': 'The movie', 't': 'its creation', 'r': 'involve', 'c': 0.0}, {'h': 'Eg White', 't': 'the movie', 'r': 'credit', 'c': 0.0}, {'h': 'Eg White', 't': 'writers', 'r': 'credit', 'c': 0.0}, {'h': 'Eg White', 't': 'they', 'r': 'credit', 'c': 0.0}, {'h': 'Eg White', 't': 'they', 'r': 'imply', 'c': 0.0}, {'h': 'Eg White', 't': 'the screenplay', 'r': 'imply', 'c': 0.0}, {'h': 'Eg White', 't': 'the screenplay', 'r': 'contribute', 'c': 0.0}, {'h': 'Eg White', 't': 'the screenplay', 'r': 'credit', 'c': 0.0}, {'h': 'Dieter Bohlen', 't': 'they', 'r': 'credit', 'c': 0.0}, {'h': 'Dieter Bohlen', 't': 'the screenplay', 'r': 'credit', 'c': 0.0}, {'h': 'Dieter Bohlen', 't': 'they', 'r': 'imply', 'c': 0.0}, {'h': 'Dieter Bohlen', 't': 'the screenplay', 'r': 'imply', 'c': 0.0}, {'h': 'Dieter Bohlen', 't': 'the screenplay', 'r': 'contribute', 'c': 0.0}, {'h': 'writers', 't': 'they', 'r': 'imply', 'c': 0.0}, {'h': 'writers', 't': 'the screenplay', 'r': 'imply', 'c': 0.0}, {'h': 'writers', 't': 'the screenplay', 'r': 'contribute', 'c': 0.0}, {'h': 'Dieter Bohlen', 't': 'the movie', 'r': 'credit', 'c': 0.0}, {'h': 'Dieter Bohlen', 't': 'writers', 'r': 'credit', 'c': 0.0}, {'h': 'the movie', 't': 'the screenplay', 'r': 'imply', 'c': 0.0}, {'h': 'the movie', 't': 'they', 'r': 'imply', 'c': 0.0}, {'h': 'the movie', 't': 'the screenplay', 'r': 'contribute', 'c': 0.0}, {'h': 'they', 't': 'the screenplay', 'r': 'contribute', 'c': 0.0}, {'h': 'the band Orchestral Manoeuvres', 't': 'the movie', 'r': 'play', 'c': 0.0}, {'h': 'the movie', 't': 'artistic contributions', 'r': 'provide', 'c': 0.0}, {'h': 'the band Orchestral Manoeuvres', 't': 'a role', 'r': 'play', 'c': 0.0}, {'h': 'the Dark', 't': 'artistic contributions', 'r': 'provide', 'c': 0.0}, {'h': 'a role', 't': 'artistic contributions', 'r': 'provide', 'c': 0.0}, {'h': 'the Dark', 't': 'the movie', 'r': 'play', 'c': 0.0}, {'h': 'the Dark', 't': 'artistic contributions', 'r': 'play', 'c': 0.0}, {'h': 'the Dark', 't': 'a role', 'r': 'play', 'c': 0.0}, {'h': 'the band Orchestral Manoeuvres', 't': 'artistic contributions', 'r': 'play', 'c': 0.0}, {'h': 'the band Orchestral Manoeuvres', 't': 'artistic contributions', 'r': 'provide', 'c': 0.0}, {'h': 'what specific contributions', 't': 'music', 'r': 'provide', 'c': 0.0}, {'h': 'what specific contributions', 't': 'the movie', 'r': 'provide', 'c': 0.0}, {'h': 'the band', 't': 'music', 'r': 'provide', 'c': 0.0}, {'h': 'what specific contributions', 't': 'other creative elements', 'r': 'provide', 'c': 0.0}, {'h': 'the band', 't': 'other creative elements', 'r': 'provide', 'c': 0.0}, {'h': 'the band', 't': 'the movie', 'r': 'provide', 'c': 0.0}, {'h': 'they', 't': 'other creative elements', 'r': 'provide', 'c': 0.0}, {'h': 'they', 't': 'the movie', 'r': 'provide', 'c': 0.0}, {'h': 'they', 't': 'music', 'r': 'provide', 'c': 0.0}, {'h': 'these three artists', 't': 'crucial roles', 'r': 'play', 'c': 0.0}, {'h': 'crucial roles', 't': 'My Name', 'r': 'call', 'c': 0.0}, {'h': 'these three artists', 't': ""the movie's production"", 'r': 'play', 'c': 0.0}, {'h': 'these three artists', 't': ""the movie's production"", 'r': 'call', 'c': 0.0}, {'h': 'these three artists', 't': 'My Name', 'r': 'play', 'c': 0.0}, {'h': 'these three artists', 't': 'My Name', 'r': 'call', 'c': 0.0}, {'h': 'these three artists', 't': 'the creation', 'r': 'play', 'c': 0.0}, {'h': 'these three artists', 't': ""the movie's production"", 'r': 'discuss', 'c': 0.0}, {'h': 'these three artists', 't': ""the movie's production"", 'r': 'note', 'c': 0.0}, {'h': 'these three artists', 't': ""the movie's production"", 'r': 'worth', 'c': 0.0}, {'h': 'crucial roles', 't': ""the movie's production"", 'r': 'note', 'c': 0.0}, {'h': 'crucial roles', 't': ""the movie's production"", 'r': 'call', 'c': 0.0}, {'h': 'crucial roles', 't': ""the movie's production"", 'r': 'worth', 'c': 0.0}, {'h': 'crucial roles', 't': ""the movie's production"", 'r': 'discuss', 'c': 0.0}, {'h': 'the creation', 't': ""the movie's production"", 'r': 'note', 'c': 0.0}, {'h': 'the creation', 't': ""the movie's production"", 'r': 'call', 'c': 0.0}, {'h': 'the creation', 't': 'My Name', 'r': 'call', 'c': 0.0}, {'h': 'the creation', 't': ""the movie's production"", 'r': 'worth', 'c': 0.0}, {'h': 'My Name', 't': ""the movie's production"", 'r': 'discuss', 'c': 0.0}, {'h': 'My Name', 't': ""the movie's production"", 'r': 'note', 'c': 0.0}, {'h': 'My Name', 't': ""the movie's production"", 'r': 'worth', 'c': 0.0}, {'h': 'the creation', 't': ""the movie's production"", 'r': 'discuss', 'c': 0.0}]","The hit song ""Call Me"" has been performed by various artists, including Blondie, Deee-Lite, Anna Vissi, Pandora, Jamelia, and Skyy. The song was produced by Arif Mardin and written by Peter Cox, Missy Elliott, and Amir Esmailian. The movie ""Call Me"" features actor Sam Freed in a starring role."
8,"[{'h': 'the Police', 't': 'the talented George O. Petrie', 'r': 'feature', 'c': 0.0}, {'h': 'a movie', 't': 'a starring role', 'r': 'feature', 'c': 0.0}, {'h': 'a movie', 't': 'the talented George O. Petrie', 'r': 'feature', 'c': 0.0}, {'h': 'the Police', 't': 'a starring role', 'r': 'feature', 'c': 0.0}, {'h': ""The film's script"", 't': 'Eric Turner', 'r': 'write', 'c': 0.0}, {'h': ""The film's script"", 't': 'Al Doyle', 'r': 'write', 'c': 0.0}, {'h': ""The film's script"", 't': 'two individuals', 'r': 'write', 'c': 0.0}, {'h': ""The film's script"", 't': 'this exciting story', 'r': 'write', 'c': 0.0}, {'h': ""The film's script"", 't': 'the big screen', 'r': 'write', 'c': 0.0}, {'h': ""The film's script"", 't': 'this exciting story', 'r': 'contribute', 'c': 0.0}, {'h': ""The film's script"", 't': 'this exciting story', 'r': 'bring', 'c': 0.0}, {'h': ""The film's script"", 't': 'the big screen', 'r': 'bring', 'c': 0.0}, {'h': ""The film's script"", 't': 'the big screen', 'r': 'contribute', 'c': 0.0}, {'h': 'two individuals', 't': 'this exciting story', 'r': 'bring', 'c': 0.0}, {'h': 'two individuals', 't': 'this exciting story', 'r': 'contribute', 'c': 0.0}, {'h': 'two individuals', 't': 'the big screen', 'r': 'contribute', 'c': 0.0}, {'h': 'two individuals', 't': 'the big screen', 'r': 'bring', 'c': 0.0}, {'h': 'Al Doyle', 't': 'this exciting story', 'r': 'contribute', 'c': 0.0}, {'h': 'Al Doyle', 't': 'this exciting story', 'r': 'bring', 'c': 0.0}, {'h': 'Al Doyle', 't': 'the big screen', 'r': 'contribute', 'c': 0.0}, {'h': 'Al Doyle', 't': 'the big screen', 'r': 'bring', 'c': 0.0}, {'h': 'Eric Turner', 't': 'this exciting story', 'r': 'contribute', 'c': 0.0}, {'h': 'Eric Turner', 't': 'this exciting story', 'r': 'bring', 'c': 0.0}, {'h': 'Eric Turner', 't': 'the big screen', 'r': 'bring', 'c': 0.0}, {'h': 'Eric Turner', 't': 'the big screen', 'r': 'contribute', 'c': 0.0}]","The movie ""Call My Name"" has three notable artists involved in its creation. Eg White and Dieter Bohlen are both credited as writers for the movie, which implies that they likely contributed to the screenplay or script. Additionally, the band Orchestral Manoeuvres in the Dark played a role in the movie by providing artistic contributions. It is unclear what specific contributions the band made, but it is likely that they provided music or other creative elements to the movie. Overall, these three artists played crucial roles in the creation of ""Call My Name"" and are worth noting when discussing the movie's production."
9,"[{'h': 'The song', 't': 'Me', 'r': 'call', 'c': 0.0}, {'h': 'The song', 't': 'LRoc', 'r': 'create', 'c': 0.0}, {'h': 'Me', 't': 'Steve Winwood', 'r': 'create', 'c': 0.0}, {'h': 'The song', 't': 'three artists', 'r': 'create', 'c': 0.0}, {'h': 'The song', 't': 'three artists', 'r': 'call', 'c': 0.0}, {'h': 'The song', 't': 'LRoc', 'r': 'call', 'c': 0.0}, {'h': 'The song', 't': 'Starley', 'r': 'create', 'c': 0.0}, {'h': 'The song', 't': 'Starley', 'r': 'call', 'c': 0.0}, {'h': 'Me', 't': 'three artists', 'r': 'create', 'c': 0.0}, {'h': 'Me', 't': 'LRoc', 'r': 'create', 'c': 0.0}, {'h': 'Me', 't': 'Starley', 'r': 'create', 'c': 0.0}, {'h': 'The song', 't': 'Steve Winwood', 'r': 'call', 'c': 0.0}, {'h': 'The song', 't': 'Steve Winwood', 'r': 'create', 'c': 0.0}]","Call the Police is a movie that features the talented George O. Petrie in a starring role. The film's script was written by two individuals: Al Doyle and Eric Turner, both of whom contributed to bringing this exciting story to the big screen."
10,"[{'h': 'The song', 't': 'Bob Telson', 'r': 'compose', 'c': 0.0}, {'h': 'The song', 't': 'artist Blue October', 'r': 'compose', 'c': 0.0}, {'h': 'The song', 't': 'artist Blue October', 'r': 'call', 'c': 0.0}, {'h': 'The song', 't': 'You', 'r': 'call', 'c': 0.0}, {'h': 'The song', 't': 'Bob Telson', 'r': 'call', 'c': 0.0}, {'h': 'You', 't': 'Bob Telson', 'r': 'compose', 'c': 0.0}, {'h': 'The song', 't': 'artist Blue October', 'r': 'produce', 'c': 0.0}, {'h': 'You', 't': 'artist Blue October', 'r': 'compose', 'c': 0.0}, {'h': 'Bob Telson', 't': 'Fred Rose', 'r': 'produce', 'c': 0.0}, {'h': 'You', 't': 'Fred Rose', 'r': 'compose', 'c': 0.0}, {'h': 'The song', 't': 'the piece', 'r': 'call', 'c': 0.0}, {'h': 'You', 't': 'artist Blue October', 'r': 'produce', 'c': 0.0}, {'h': 'You', 't': 'Fred Rose', 'r': 'produce', 'c': 0.0}, {'h': 'The song', 't': 'the piece', 'r': 'compose', 'c': 0.0}, {'h': 'Bob Telson', 't': 'artist Blue October', 'r': 'produce', 'c': 0.0}, {'h': 'The song', 't': 'the piece', 'r': 'produce', 'c': 0.0}, {'h': 'The song', 't': 'the piece', 'r': 'perform', 'c': 0.0}, {'h': 'Bob Telson', 't': 'the piece', 'r': 'produce', 'c': 0.0}, {'h': 'artist Blue October', 't': 'the piece', 'r': 'perform', 'c': 0.0}, {'h': 'Fred Rose', 't': 'the piece', 'r': 'perform', 'c': 0.0}, {'h': 'Bob Telson', 't': 'the piece', 'r': 'perform', 'c': 0.0}, {'h': 'You', 't': 'the piece', 'r': 'compose', 'c': 0.0}, {'h': 'You', 't': 'the piece', 'r': 'perform', 'c': 0.0}, {'h': 'The song', 't': 'Fred Rose', 'r': 'produce', 'c': 0.0}, {'h': 'The song', 't': 'Fred Rose', 'r': 'compose', 'c': 0.0}, {'h': 'You', 't': 'the piece', 'r': 'produce', 'c': 0.0}, {'h': 'The song', 't': 'Fred Rose', 'r': 'call', 'c': 0.0}]","The song ""Call on Me"" was created by three artists; LRoc, Starley, and Steve Winwood. LRoc and Steve Winwood are both credited as writers for the song while Starley is credited as the main artist."
