line,tri,source
0,"[{'h': 'a movie', 't': 'Betty Garde', 'r': 'star', 'c': 0.10959513112902601}, {'h': 'a movie', 't': 'Victor Reinier', 'r': 'star', 'c': 0.094662804156541}, {'h': 'a movie', 't': 'Éric Savin', 'r': 'star', 'c': 0.08994169346988201}, {'h': 'a movie', 't': 'Angela Sarafyan', 'r': 'star', 'c': 0.089159931987524}]","Caged is a movie that stars Betty Garde, Victor Reinier, Éric Savin, and Angela Sarafyan."
1,"[{'h': 'Cake', 't': 'Sam Worthington', 'r': 'feature', 'c': 0.06590197607874801}, {'h': 'a movie', 't': 'Sandra Oh', 'r': 'feature', 'c': 0.075720015913248}, {'h': 'Cake', 't': 'Sandra Oh', 'r': 'feature', 'c': 0.055045291781425004}, {'h': 'a movie', 't': 'Sanam Saeed', 'r': 'feature', 'c': 0.06792868115007801}, {'h': 'Cake', 't': 'Sanam Saeed', 'r': 'feature', 'c': 0.04725395701825601}, {'h': 'a movie', 't': 'Sam Worthington', 'r': 'feature', 'c': 0.08657670021057101}, {'h': 'Flo Rida', 't': 'the making', 'r': 'contribute', 'c': 0.071468036621809}, {'h': 'the artist', 't': 'some way', 'r': 'contribute', 'c': 0.091594833880662}, {'h': 'the artist', 't': 'the making', 'r': 'contribute', 'c': 0.097079645842313}, {'h': 'Flo Rida', 't': 'the movie', 'r': 'contribute', 'c': 0.06403914093971201}, {'h': 'Flo Rida', 't': 'some way', 'r': 'contribute', 'c': 0.065983224660158}, {'h': 'the artist', 't': 'the movie', 'r': 'contribute', 'c': 0.08965075016021701}]","Cake is a movie that features Sam Worthington, Sanam Saeed, and Sandra Oh. Additionally, the artist Flo Rida contributed to the making of the movie in some way."
2,"[{'h': 'Big Kenny', 't': 'Usher', 'r': 'write', 'c': 0.04948306083679101}, {'h': 'Big Kenny', 't': 'Lenny Kravitz', 'r': 'write', 'c': 0.049125188961625}, {'h': 'Big Kenny', 't': 'Peter Bernhard Kyne', 'r': 'write', 'c': 0.063670504838228}, {'h': 'Joni Mitchell', 't': 'the movie', 'r': 'involve', 'c': 0.08066664822399601}, {'h': 'Joni Mitchell', 't': 'an artist', 'r': 'involve', 'c': 0.06863025017082601}]","The movie ""California"" had an impressive cast with actors such as Barry Fitzgerald and Faith Domergue. It was produced by Big Kenny and written by Peter Bernhard Kyne, Usher, and Lenny Kravitz. Additionally, Joni Mitchell was involved in the movie as an artist."
3,"[{'h': 'The movie', 't': 'Me', 'r': 'call', 'c': 0.09181788191199301}, {'h': 'The movie', 't': 'a star-studded cast', 'r': 'feature', 'c': 0.053825352340936}, {'h': 'The movie', 't': 'a star-studded cast', 'r': 'call', 'c': 0.053554762154817005}, {'h': 'The movie', 't': 'Blondie', 'r': 'call', 'c': 0.05108200944960101}, {'h': 'The movie', 't': 'artists', 'r': 'call', 'c': 0.055155206471681005}, {'h': 'The movie', 't': 'Anna Vissi', 'r': 'feature', 'c': 0.032748453319072}, {'h': 'The movie', 't': 'Anna Vissi', 'r': 'call', 'c': 0.041571474634110005}, {'h': 'The movie', 't': 'artists', 'r': 'feature', 'c': 0.056840281933546004}, {'h': 'The movie', 't': 'Blondie', 'r': 'feature', 'c': 0.036036969162523004}, {'h': 'The movie', 't': 'Deee-Lite', 'r': 'feature', 'c': 0.032803825102746}, {'h': 'The movie', 't': 'Deee-Lite', 'r': 'call', 'c': 0.049387287348508}, {'h': 'The movie', 't': 'Pandora', 'r': 'call', 'c': 0.046538861468434}, {'h': 'Me', 't': 'Anna Vissi', 'r': 'feature', 'c': 0.026943031698465004}, {'h': 'The movie', 't': 'Pandora', 'r': 'feature', 'c': 0.031315624713897004}, {'h': 'Me', 't': 'Pandora', 'r': 'feature', 'c': 0.025510203093290003}, {'h': 'Me', 't': 'a star-studded cast', 'r': 'feature', 'c': 0.04801993072032901}, {'h': 'The movie', 't': 'Jamelia', 'r': 'call', 'c': 0.041259713470935}, {'h': 'The movie', 't': 'Jamelia', 'r': 'feature', 'c': 0.031928818672895}, {'h': 'Me', 't': 'Blondie', 'r': 'feature', 'c': 0.030231547541916003}, {'h': 'Me', 't': 'Deee-Lite', 'r': 'feature', 'c': 0.026998403482139003}, {'h': 'The movie', 't': 'Skyy', 'r': 'call', 'c': 0.041851868852972006}, {'h': 'Me', 't': 'artists', 'r': 'feature', 'c': 0.051034860312938}, {'h': 'The movie', 't': 'Skyy', 'r': 'feature', 'c': 0.031591335311532}, {'h': 'Me', 't': 'Skyy', 'r': 'feature', 'c': 0.025785913690924003}, {'h': 'Me', 't': 'Jamelia', 'r': 'feature', 'c': 0.026123397052288003}, {'h': 'The production', 't': 'producer Arif Mardin', 'r': 'oversee', 'c': 0.147661089897155}, {'h': 'The writing team', 't': 'Peter Cox', 'r': 'consist', 'c': 0.100726794451475}, {'h': 'The writing team', 't': 'Amir Esmailian', 'r': 'consist', 'c': 0.08895263820886601}, {'h': 'The writing team', 't': 'Missy Elliott', 'r': 'consist', 'c': 0.094912663102149}, {'h': 'The movie', 't': 'Sam Freed', 'r': 'star', 'c': 0.19628424942493403}]","The movie ""Call Me"" features a star-studded cast of artists including Blondie, Deee-Lite, Anna Vissi, Pandora, Jamelia, and Skyy. The production was overseen by producer Arif Mardin. The writing team consisted of Peter Cox, Missy Elliott, and Amir Esmailian. The movie stars Sam Freed."
4,"[{'h': '""Camera Obscura', 't': 'Haris Zambarloukos', 'r': 'cinematographe', 'c': 0.03252238035202}, {'h': 'The movie', 't': 'Haris Zambarloukos', 'r': 'cinematographe', 'c': 0.037376046180725}, {'h': 'Nour Zaki', 't': 'Haris Zambarloukos', 'r': 'cinematographe', 'c': 0.034356839954853}, {'h': 'Max Obal', 't': 'Haris Zambarloukos', 'r': 'cinematographe', 'c': 0.034104565158486005}]","The movie ""Camera Obscura"" was directed by Max Obal and Nour Zaki, and cinematographed by Haris Zambarloukos. The lead actor of the movie was Christopher Denham."
5,"[{'h': 'The movie', 't': 'starring roles', 'r': 'play', 'c': 0.11163236387073901}, {'h': 'The movie', 't': 'Alice Gale', 'r': 'play', 'c': 0.035119296051561}, {'h': '""Camille', 't': 'starring roles', 'r': 'play', 'c': 0.103382181376218}, {'h': '""Camille', 't': 'Alice Gale', 'r': 'play', 'c': 0.02686911355704}, {'h': '""Camille', 't': 'Rudolph Valentino', 'r': 'play', 'c': 0.038631649687886}, {'h': '""Camille', 't': 'Paul Capellani', 'r': 'play', 'c': 0.029099819250404002}, {'h': 'several actors', 't': 'starring roles', 'r': 'play', 'c': 0.13793716579675602}, {'h': 'several actors', 't': 'Robert Taylor', 'r': 'play', 'c': 0.06516369804739901}, {'h': 'The movie', 't': 'Paul Capellani', 'r': 'play', 'c': 0.037350001744925004}, {'h': '""Camille', 't': 'David Carradine', 'r': 'play', 'c': 0.023742184508591002}, {'h': 'The movie', 't': 'Rudolph Valentino', 'r': 'play', 'c': 0.046881832182407004}, {'h': 'The movie', 't': 'David Carradine', 'r': 'play', 'c': 0.031992367003113004}, {'h': 'several actors', 't': 'Rudolph Valentino', 'r': 'play', 'c': 0.073186634108424}, {'h': 'several actors', 't': 'David Carradine', 'r': 'play', 'c': 0.058297168929129006}, {'h': '""Camille', 't': 'Robert Taylor', 'r': 'play', 'c': 0.030608713626861003}, {'h': 'The movie', 't': 'Robert Taylor', 'r': 'play', 'c': 0.038858896121382006}, {'h': 'several actors', 't': 'Alice Gale', 'r': 'play', 'c': 0.061424097977578}, {'h': 'several actors', 't': 'Paul Capellani', 'r': 'play', 'c': 0.063654803670942}, {'h': 'The movie', 't': 'Joseph M. Schenck', 'r': 'produce', 'c': 0.126804895699024}]","The movie ""Camille"" has had several actors play starring roles including Robert Taylor, Rudolph Valentino, David Carradine, Alice Gale, and Paul Capellani. The movie was produced by Joseph M. Schenck."
6,"[{'h': 'Enough', 't': 'Bad Company', 'r': 'perform', 'c': 0.032846535556018006}, {'h': 'a song', 't': 'Becky G', 'r': 'perform', 'c': 0.059821100905537}, {'h': 'a song', 't': 'several artists', 'r': 'perform', 'c': 0.104485314339399}, {'h': 'a song', 't': 'Patty Loveless', 'r': 'perform', 'c': 0.06473875604569901}, {'h': 'Enough', 't': 'J. Cole', 'r': 'perform', 'c': 0.043817115947604006}, {'h': 'a song', 't': 'Bad Company', 'r': 'perform', 'c': 0.051610537804663}, {'h': 'Enough', 't': 'Supergroove', 'r': 'perform', 'c': 0.033036184497177004}, {'h': 'a song', 't': 'J. Cole', 'r': 'perform', 'c': 0.06258111819624901}, {'h': 'Enough', 't': 'Patty Loveless', 'r': 'perform', 'c': 0.045974753797054006}, {'h': 'Enough', 't': 'several artists', 'r': 'perform', 'c': 0.08572131209075401}, {'h': 'a song', 't': 'Supergroove', 'r': 'perform', 'c': 0.051800186745822006}, {'h': 'Enough', 't': 'Becky G', 'r': 'perform', 'c': 0.041057098656892006}, {'h': 'The song', 't': 'Brett Anderson', 'r': 'write', 'c': 0.161724183708429}, {'h': 'their own unique take', 't': 'the versatility', 'r': 'showcase', 'c': 0.06020053289830601}, {'h': 'their own unique take', 't': 'the composition', 'r': 'showcase', 'c': 0.05807609297335101}, {'h': 'the song', 't': 'the versatility', 'r': 'showcase', 'c': 0.06478027999401001}, {'h': 'the song', 't': 'the composition', 'r': 'showcase', 'c': 0.062655840069055}, {'h': 'Each artist', 't': 'the versatility', 'r': 'showcase', 'c': 0.064208401367068}, {'h': 'Each artist', 't': 'the composition', 'r': 'showcase', 'c': 0.06208396144211201}, {'h': 'Becky G', 't': 'their own vocals', 'r': 'contribute', 'c': 0.090565456077456}, {'h': 'Becky G', 't': 'the track', 'r': 'contribute', 'c': 0.024453397840261}, {'h': 'Becky G', 't': 'J. Cole', 'r': 'contribute', 'c': 0.029700517654418}, {'h': 'Becky G', 't': 'a more instrumental interpretation', 'r': 'opt', 'c': 0.032643318176269004}, {'h': 'Becky G', 't': 'a more instrumental interpretation', 'r': 'contribute', 'c': 0.023639728315174}, {'h': 'Becky G', 't': 'Bad Company', 'r': 'contribute', 'c': 0.021344291046261003}, {'h': 'Patty Loveless', 't': 'their own vocals', 'r': 'contribute', 'c': 0.094078647904098}, {'h': 'Patty Loveless', 't': 'a more instrumental interpretation', 'r': 'contribute', 'c': 0.027152920141816}, {'h': 'Patty Loveless', 't': 'Bad Company', 'r': 'contribute', 'c': 0.024857482872903004}, {'h': 'Patty Loveless', 't': 'a more instrumental interpretation', 'r': 'opt', 'c': 0.033486254513263}, {'h': 'Supergroove', 't': 'their own vocals', 'r': 'contribute', 'c': 0.10512888059020001}, {'h': 'Supergroove', 't': 'the track', 'r': 'contribute', 'c': 0.039016822353005}, {'h': 'Supergroove', 't': 'J. Cole', 'r': 'contribute', 'c': 0.044263942167162}, {'h': 'Supergroove', 't': 'a more instrumental interpretation', 'r': 'contribute', 'c': 0.038203152827918}, {'h': 'Supergroove', 't': 'a more instrumental interpretation', 'r': 'opt', 'c': 0.033082302659749}, {'h': 'Supergroove', 't': 'Bad Company', 'r': 'contribute', 'c': 0.035907715559005}, {'h': 'their own vocals', 't': 'a more instrumental interpretation', 'r': 'opt', 'c': 0.033396996557712}, {'h': 'the track', 't': 'a more instrumental interpretation', 'r': 'opt', 'c': 0.034680461511015004}, {'h': 'Patty Loveless', 't': 'the track', 'r': 'contribute', 'c': 0.027966589666903}, {'h': 'Patty Loveless', 't': 'J. Cole', 'r': 'contribute', 'c': 0.033213709481060005}, {'h': 'J. Cole', 't': 'a more instrumental interpretation', 'r': 'opt', 'c': 0.038674004375934004}, {'h': 'Bad Company', 't': 'a more instrumental interpretation', 'r': 'opt', 'c': 0.046442372724413004}, {'h': 'the variations', 't': 'Enough', 'r': 'bring', 'c': 0.048433134332299003}, {'h': 'the variations', 't': 'Enough', 'r': 'get', 'c': 0.07073788717389101}, {'h': 'the variations', 't': 'something', 'r': 'bring', 'c': 0.088963625952601}, {'h': 'the variations', 't': 'the performance', 'r': 'bring', 'c': 0.052290160208940006}, {'h': 'the variations', 't': 'the world', 'r': 'tune', 'c': 0.052479004487395}, {'h': 'the variations', 't': 'the world', 'r': 'endure', 'c': 0.035674886777997}, {'h': 'the variations', 't': 'the world', 'r': 'bring', 'c': 0.041779225692152006}, {'h': 'the variations', 't': 'the world', 'r': 'belove', 'c': 0.031918625347316}, {'h': 'the variations', 't': 'music', 'r': 'bring', 'c': 0.042409511283040005}, {'h': 'the variations', 't': 'the world', 'r': 'get', 'c': 0.026145334355533}, {'h': 'the variations', 't': 'music', 'r': 'tune', 'c': 0.063017770648002}, {'h': 'the variations', 't': 'music', 'r': 'belove', 'c': 0.037682240828871005}, {'h': 'the variations', 't': 'music', 'r': 'endure', 'c': 0.034012094140052004}, {'h': 'the variations', 't': 'music', 'r': 'get', 'c': 0.028744861483573}, {'h': 'style', 't': 'something', 'r': 'bring', 'c': 0.09724623709917}, {'h': 'style', 't': 'the performance', 'r': 'bring', 'c': 0.060572771355509}, {'h': 'style', 't': 'Enough', 'r': 'get', 'c': 0.074921475723385}, {'h': 'style', 't': 'Enough', 'r': 'bring', 'c': 0.056715745478868006}, {'h': 'style', 't': 'the world', 'r': 'bring', 'c': 0.05006183683872201}, {'h': 'style', 't': 'the world', 'r': 'tune', 'c': 0.055520078167319006}, {'h': 'style', 't': 'the world', 'r': 'belove', 'c': 0.045054423622787006}, {'h': 'style', 't': 'the world', 'r': 'endure', 'c': 0.04050245322287}, {'h': 'style', 't': 'the world', 'r': 'get', 'c': 0.030328922905027002}, {'h': 'style', 't': 'music', 'r': 'tune', 'c': 0.06605884432792601}, {'h': 'style', 't': 'music', 'r': 'belove', 'c': 0.050818039104342}, {'h': 'style', 't': 'music', 'r': 'bring', 'c': 0.05069212242960901}, {'h': 'style', 't': 'music', 'r': 'get', 'c': 0.032928450033068005}, {'h': 'style', 't': 'music', 'r': 'endure', 'c': 0.038839660584926}, {'h': 'each artist', 't': 'something', 'r': 'bring', 'c': 0.10367603227496101}, {'h': 'each artist', 't': 'the performance', 'r': 'bring', 'c': 0.0670025665313}, {'h': 'each artist', 't': 'Enough', 'r': 'bring', 'c': 0.06314554065465901}, {'h': 'each artist', 't': 'Enough', 'r': 'get', 'c': 0.073489304631948}, {'h': 'each artist', 't': 'the world', 'r': 'bring', 'c': 0.056491632014513}, {'h': 'each artist', 't': 'the world', 'r': 'endure', 'c': 0.036535393446683}, {'h': 'each artist', 't': 'the world', 'r': 'tune', 'c': 0.051785763353109006}, {'h': 'each artist', 't': 'the world', 'r': 'get', 'c': 0.028896751813590003}, {'h': 'each artist', 't': 'the world', 'r': 'belove', 'c': 0.042634935118258006}, {'h': 'each artist', 't': 'music', 'r': 'tune', 'c': 0.062324529513716004}, {'h': 'each artist', 't': 'music', 'r': 'bring', 'c': 0.0571219176054}, {'h': 'each artist', 't': 'music', 'r': 'endure', 'c': 0.034872600808739}, {'h': 'each artist', 't': 'music', 'r': 'get', 'c': 0.031496278941631005}, {'h': 'each artist', 't': 'music', 'r': 'belove', 'c': 0.048398550599813}, {'h': 'something', 't': 'Enough', 'r': 'get', 'c': 0.07632288895547301}, {'h': 'something', 't': 'the world', 'r': 'belove', 'c': 0.039844748564064}, {'h': 'something', 't': 'the world', 'r': 'tune', 'c': 0.06408734805881901}, {'h': 'something', 't': 'the world', 'r': 'get', 'c': 0.031730336137115005}, {'h': 'something', 't': 'the world', 'r': 'endure', 'c': 0.038420049473643005}, {'h': 'something', 't': 'music', 'r': 'tune', 'c': 0.07462611421942701}, {'h': 'something', 't': 'music', 'r': 'belove', 'c': 0.045608364045619}, {'h': 'something', 't': 'music', 'r': 'get', 'c': 0.034329863265156}, {'h': 'something', 't': 'music', 'r': 'endure', 'c': 0.036757256835699005}, {'h': 'the performance', 't': 'Enough', 'r': 'get', 'c': 0.074968367815017}, {'h': 'the performance', 't': 'the world', 'r': 'belove', 'c': 0.042299305088818004}, {'h': 'the performance', 't': 'the world', 'r': 'tune', 'c': 0.054669754579663006}, {'h': 'the performance', 't': 'music', 'r': 'tune', 'c': 0.06520852074027}, {'h': 'the performance', 't': 'the world', 'r': 'get', 'c': 0.030375814996659003}, {'h': 'the performance', 't': 'music', 'r': 'belove', 'c': 0.048062920570373}, {'h': 'the performance', 't': 'the world', 'r': 'endure', 'c': 0.037173844873905}, {'h': 'the performance', 't': 'music', 'r': 'get', 'c': 0.032975342124700005}, {'h': 'the performance', 't': 'music', 'r': 'endure', 'c': 0.03551105223596}, {'h': 'Enough', 't': 'the world', 'r': 'tune', 'c': 0.060544492676854}, {'h': 'Enough', 't': 'music', 'r': 'endure', 'c': 0.038497757166624}, {'h': 'Enough', 't': 'the world', 'r': 'belove', 'c': 0.039116286672651004}, {'h': 'Enough', 't': 'the world', 'r': 'endure', 'c': 0.040160549804568006}, {'h': 'Enough', 't': 'music', 'r': 'tune', 'c': 0.071083258837461}, {'h': 'Enough', 't': 'music', 'r': 'belove', 'c': 0.044879902154207}]","""Can't Get Enough"" is a song that has been performed by several artists including Becky G, Patty Loveless, Bad Company, J. Cole, and Supergroove. The song was written by Brett Anderson. Each artist has their own unique take on the song, showcasing the versatility of the composition. Becky G, Patty Loveless, and Supergroove have all contributed their own vocals to the track, while J. Cole and Bad Company have opted for a more instrumental interpretation. Despite the variations in style, each artist brings something new and exciting to the performance of ""Can't Get Enough,"" making it a beloved and enduring tune in the world of music."
7,"[{'h': 'The song', 't': 'both Rodney Jerkins', 'r': 'let', 'c': 0.04335637949407101}, {'h': 'The song', 't': 'both Rodney Jerkins', 'r': 'go', 'c': 0.052545277401804}, {'h': 'The song', 't': 'Maurice White', 'r': 'produce', 'c': 0.083842886611819}, {'h': 'The song', 't': 'both Rodney Jerkins', 'r': 'produce', 'c': 0.08714000508189201}, {'h': 'The song', 't': 'Maurice White', 'r': 'go', 'c': 0.054523676633834006}, {'h': 'The song', 't': 'Maurice White', 'r': 'let', 'c': 0.041543383151292}, {'h': 'Anthony Hamilton', 't': 'the song', 'r': 'contribute', 'c': 0.07461328431963901}, {'h': 'Lucinda Williams', 't': 'the creation', 'r': 'contribute', 'c': 0.08439957536756901}, {'h': 'Lucinda Williams', 't': 'the song', 'r': 'contribute', 'c': 0.06593044288456401}, {'h': 'Anthony Hamilton', 't': 'the creation', 'r': 'contribute', 'c': 0.09308241680264401}, {'h': 'The artists', 't': 'the creation', 'r': 'contribute', 'c': 0.108231011778116}, {'h': 'The artists', 't': 'the song', 'r': 'contribute', 'c': 0.08976187929511001}, {'h': 'Walter Afanasieff', 't': 'the writer', 'r': 'credit', 'c': 0.088849432766437}, {'h': 'Walter Afanasieff', 't': 'the song', 'r': 'credit', 'c': 0.06934732571244201}]","The song ""Can't Let Go"" has been produced by both Rodney Jerkins and Maurice White. The artists Anthony Hamilton and Lucinda Williams have both contributed to the creation of the song. Additionally, Walter Afanasieff is credited as the writer of the song."
8,"[{'h': 'The movie', 't': 'an impressive lineup', 'r': 'boast', 'c': 0.103378716856241}, {'h': 'Candy', 't': 'an impressive lineup', 'r': 'boast', 'c': 0.07759626954793901}, {'h': 'The movie', 't': 'artists', 'r': 'boast', 'c': 0.0936567671597}, {'h': 'Candy', 't': 'artists', 'r': 'boast', 'c': 0.06787431985139801}, {'h': 'The movie', 't': 'its production', 'r': 'boast', 'c': 0.08281569369137201}, {'h': 'The movie', 't': 'its production', 'r': 'contribute', 'c': 0.09122727066278401}, {'h': 'Candy', 't': 'its production', 'r': 'boast', 'c': 0.05703324638307}, {'h': 'Candy', 't': 'its production', 'r': 'contribute', 'c': 0.06908667832612901}, {'h': 'an impressive lineup', 't': 'its production', 'r': 'contribute', 'c': 0.08748462796211201}, {'h': 'artists', 't': 'its production', 'r': 'contribute', 'c': 0.10294175893068301}, {'h': 'cinematography', 't': 'a producer', 'r': 'serve', 'c': 0.07409331202507001}, {'h': 'Don', 't': 'a producer', 'r': 'serve', 'c': 0.08033510670065801}, {'h': 'Giuseppe Rotunno', 't': 'a producer', 'r': 'serve', 'c': 0.07050983048975401}, {'h': 'Rodney Jerkins', 't': ""the film's music"", 'r': 'compose', 'c': 0.12443813309073401}, {'h': 'Cameo', 't': 'artists', 'r': 'credit', 'c': 0.046455590985715}, {'h': 'Cameo', 't': ""Candy's production"", 'r': 'contribute', 'c': 0.032323600724339}, {'h': 'Cameo', 't': ""Candy's production"", 'r': 'credit', 'c': 0.028718884103}, {'h': 'H.O.T.', 't': 'artists', 'r': 'credit', 'c': 0.04753988422453401}, {'h': 'H.O.T.', 't': ""Candy's production"", 'r': 'contribute', 'c': 0.035277669318020004}, {'h': 'H.O.T.', 't': ""Candy's production"", 'r': 'credit', 'c': 0.029803177341818}, {'h': 'Paolo Nutini', 't': 'artists', 'r': 'credit', 'c': 0.051262840628623005}, {'h': 'Paolo Nutini', 't': ""Candy's production"", 'r': 'contribute', 'c': 0.038353026844561}, {'h': 'Paolo Nutini', 't': ""Candy's production"", 'r': 'credit', 'c': 0.033526133745908}, {'h': 'Jessica Sutta', 't': 'artists', 'r': 'credit', 'c': 0.045369822531938005}, {'h': 'Jessica Sutta', 't': ""Candy's production"", 'r': 'contribute', 'c': 0.030860880389809}, {'h': 'Jessica Sutta', 't': ""Candy's production"", 'r': 'credit', 'c': 0.027633115649223}, {'h': 'Ken Hirai', 't': 'artists', 'r': 'credit', 'c': 0.053346067667007}, {'h': 'Ken Hirai', 't': ""Candy's production"", 'r': 'contribute', 'c': 0.038636138662695}, {'h': 'Ken Hirai', 't': ""Candy's production"", 'r': 'credit', 'c': 0.035609360784292006}, {'h': 'Doja Cat', 't': 'artists', 'r': 'credit', 'c': 0.04457587189972401}, {'h': 'Doja Cat', 't': ""Candy's production"", 'r': 'contribute', 'c': 0.029355208855122}, {'h': 'Doja Cat', 't': ""Candy's production"", 'r': 'credit', 'c': 0.026839165017008}, {'h': 'Koda Kumi', 't': 'artists', 'r': 'credit', 'c': 0.048507444560527004}, {'h': 'Koda Kumi', 't': ""Candy's production"", 'r': 'contribute', 'c': 0.032336513511836}, {'h': 'Koda Kumi', 't': ""Candy's production"", 'r': 'credit', 'c': 0.030770737677812004}, {'h': 'artists', 't': ""Candy's production"", 'r': 'contribute', 'c': 0.041015161201357}]","The movie Candy boasts an impressive lineup of artists who have contributed to its production. Giuseppe Rotunno is responsible for cinematography, while Don Was served as a producer. The movie has a diverse team of writers including Dave Katz, Pharrell Williams, Maurice Starr, Viktoria Hansen, Luke Davies, Burt Bacharach, and Gary Barlow. Rodney Jerkins composed the film's music. Cameo, H.O.T., Paolo Nutini, Jessica Sutta, Ken Hirai, Doja Cat, and Koda Kumi are also credited as artists who have contributed to Candy's production."
9,"[{'h': 'Candyman', 't': 'Virginia Madsen', 'r': 'feature', 'c': 0.051739558577537}, {'h': 'Candyman', 't': 'David Klein', 'r': 'feature', 'c': 0.043537851423025006}, {'h': 'Candyman', 't': 'its cast', 'r': 'feature', 'c': 0.053705032914876}, {'h': 'Candyman', 't': 'part', 'r': 'feature', 'c': 0.040146162733435006}, {'h': 'Candyman', 't': 'Colman Domingo', 'r': 'feature', 'c': 0.046483127400279003}, {'h': 'a movie', 't': 'its cast', 'r': 'feature', 'c': 0.076913692057132}, {'h': 'a movie', 't': 'Virginia Madsen', 'r': 'feature', 'c': 0.074948217719793}, {'h': 'a movie', 't': 'part', 'r': 'feature', 'c': 0.06335482187569101}, {'h': 'a movie', 't': 'David Klein', 'r': 'feature', 'c': 0.06674651056528}, {'h': 'a movie', 't': 'Colman Domingo', 'r': 'feature', 'c': 0.06969178654253401}, {'h': 'The film', 't': 'Siouxsie Sioux', 'r': 'produce', 'c': 0.093198582530021}, {'h': 'Linda Perry', 't': 'Siouxsie Sioux', 'r': 'write', 'c': 0.058278640732169006}, {'h': 'its script', 't': 'Siouxsie Sioux', 'r': 'write', 'c': 0.083094973117113}, {'h': 'The film', 't': 'Siouxsie Sioux', 'r': 'write', 'c': 0.06219674274325301}, {'h': 'The film', 't': 'Linda Perry', 'r': 'produce', 'c': 0.11574114114046001}, {'h': 'The film', 't': 'its script', 'r': 'produce', 'c': 0.127640090882778}]","Candyman is a movie that features Virginia Madsen, David Klein, and Colman Domingo as part of its cast. The film was produced by Linda Perry, and its script was written by Siouxsie Sioux."
