line,tri,source
0,"[{'h': 'a movie', 't': 'Éric Savin', 'r': 'star', 'c': 0.0}, {'h': 'a movie', 't': 'Victor Reinier', 'r': 'star', 'c': 0.0}, {'h': 'a movie', 't': 'Angela Sarafyan', 'r': 'star', 'c': 0.0}, {'h': 'a movie', 't': 'Betty Garde', 'r': 'star', 'c': 0.0}]","Caged is a movie that stars Betty Garde, Victor Reinier, Éric Savin, and Angela Sarafyan."
1,"[{'h': 'Cake', 't': 'Sam Worthington', 'r': 'feature', 'c': 0.0}, {'h': 'Cake', 't': 'Sandra Oh', 'r': 'feature', 'c': 0.0}, {'h': 'a movie', 't': 'Sandra Oh', 'r': 'feature', 'c': 0.0}, {'h': 'a movie', 't': 'Sanam Saeed', 'r': 'feature', 'c': 0.0}, {'h': 'Cake', 't': 'Sanam Saeed', 'r': 'feature', 'c': 0.0}, {'h': 'a movie', 't': 'Sam Worthington', 'r': 'feature', 'c': 0.0}, {'h': 'the artist', 't': 'the making', 'r': 'contribute', 'c': 0.0}, {'h': 'the artist', 't': 'some way', 'r': 'contribute', 'c': 0.0}, {'h': 'Flo Rida', 't': 'the movie', 'r': 'contribute', 'c': 0.0}, {'h': 'Flo Rida', 't': 'some way', 'r': 'contribute', 'c': 0.0}, {'h': 'the artist', 't': 'the movie', 'r': 'contribute', 'c': 0.0}, {'h': 'Flo Rida', 't': 'the making', 'r': 'contribute', 'c': 0.0}]","Cake is a movie that features Sam Worthington, Sanam Saeed, and Sandra Oh. Additionally, the artist Flo Rida contributed to the making of the movie in some way."
2,"[{'h': 'Big Kenny', 't': 'Lenny Kravitz', 'r': 'write', 'c': 0.0}, {'h': 'Big Kenny', 't': 'Peter Bernhard Kyne', 'r': 'write', 'c': 0.0}, {'h': 'Big Kenny', 't': 'Usher', 'r': 'write', 'c': 0.0}, {'h': 'Joni Mitchell', 't': 'the movie', 'r': 'involve', 'c': 0.0}, {'h': 'Joni Mitchell', 't': 'an artist', 'r': 'involve', 'c': 0.0}]","The movie ""California"" had an impressive cast with actors such as Barry Fitzgerald and Faith Domergue. It was produced by Big Kenny and written by Peter Bernhard Kyne, Usher, and Lenny Kravitz. Additionally, Joni Mitchell was involved in the movie as an artist."
3,"[{'h': 'The movie', 't': 'a star-studded cast', 'r': 'call', 'c': 0.0}, {'h': 'The movie', 't': 'Me', 'r': 'call', 'c': 0.0}, {'h': 'The movie', 't': 'Blondie', 'r': 'feature', 'c': 0.0}, {'h': 'The movie', 't': 'Deee-Lite', 'r': 'feature', 'c': 0.0}, {'h': 'The movie', 't': 'Deee-Lite', 'r': 'call', 'c': 0.0}, {'h': 'The movie', 't': 'Anna Vissi', 'r': 'call', 'c': 0.0}, {'h': 'The movie', 't': 'Anna Vissi', 'r': 'feature', 'c': 0.0}, {'h': 'The movie', 't': 'artists', 'r': 'call', 'c': 0.0}, {'h': 'The movie', 't': 'artists', 'r': 'feature', 'c': 0.0}, {'h': 'The movie', 't': 'a star-studded cast', 'r': 'feature', 'c': 0.0}, {'h': 'The movie', 't': 'Blondie', 'r': 'call', 'c': 0.0}, {'h': 'The movie', 't': 'Pandora', 'r': 'feature', 'c': 0.0}, {'h': 'The movie', 't': 'Jamelia', 'r': 'feature', 'c': 0.0}, {'h': 'The movie', 't': 'Jamelia', 'r': 'call', 'c': 0.0}, {'h': 'The movie', 't': 'Pandora', 'r': 'call', 'c': 0.0}, {'h': 'The movie', 't': 'Skyy', 'r': 'call', 'c': 0.0}, {'h': 'The movie', 't': 'Skyy', 'r': 'feature', 'c': 0.0}, {'h': 'Me', 't': 'Blondie', 'r': 'feature', 'c': 0.0}, {'h': 'Me', 't': 'artists', 'r': 'feature', 'c': 0.0}, {'h': 'Me', 't': 'a star-studded cast', 'r': 'feature', 'c': 0.0}, {'h': 'Me', 't': 'Anna Vissi', 'r': 'feature', 'c': 0.0}, {'h': 'Me', 't': 'Deee-Lite', 'r': 'feature', 'c': 0.0}, {'h': 'Me', 't': 'Pandora', 'r': 'feature', 'c': 0.0}, {'h': 'Me', 't': 'Jamelia', 'r': 'feature', 'c': 0.0}, {'h': 'Me', 't': 'Skyy', 'r': 'feature', 'c': 0.0}, {'h': 'The production', 't': 'producer Arif Mardin', 'r': 'oversee', 'c': 0.0}, {'h': 'The writing team', 't': 'Peter Cox', 'r': 'consist', 'c': 0.0}, {'h': 'The writing team', 't': 'Amir Esmailian', 'r': 'consist', 'c': 0.0}, {'h': 'The writing team', 't': 'Missy Elliott', 'r': 'consist', 'c': 0.0}, {'h': 'The movie', 't': 'Sam Freed', 'r': 'star', 'c': 0.0}]","The movie ""Call Me"" features a star-studded cast of artists including Blondie, Deee-Lite, Anna Vissi, Pandora, Jamelia, and Skyy. The production was overseen by producer Arif Mardin. The writing team consisted of Peter Cox, Missy Elliott, and Amir Esmailian. The movie stars Sam Freed."
4,"[{'h': '""Camera Obscura', 't': 'Haris Zambarloukos', 'r': 'cinematographe', 'c': 0.0}, {'h': 'Max Obal', 't': 'Haris Zambarloukos', 'r': 'cinematographe', 'c': 0.0}, {'h': 'The movie', 't': 'Haris Zambarloukos', 'r': 'cinematographe', 'c': 0.0}, {'h': 'Nour Zaki', 't': 'Haris Zambarloukos', 'r': 'cinematographe', 'c': 0.0}]","The movie ""Camera Obscura"" was directed by Max Obal and Nour Zaki, and cinematographed by Haris Zambarloukos. The lead actor of the movie was Christopher Denham."
5,"[{'h': 'The movie', 't': 'starring roles', 'r': 'play', 'c': 0.0}, {'h': 'The movie', 't': 'Robert Taylor', 'r': 'play', 'c': 0.0}, {'h': 'The movie', 't': 'Rudolph Valentino', 'r': 'play', 'c': 0.0}, {'h': 'The movie', 't': 'Alice Gale', 'r': 'play', 'c': 0.0}, {'h': 'The movie', 't': 'David Carradine', 'r': 'play', 'c': 0.0}, {'h': '""Camille', 't': 'Robert Taylor', 'r': 'play', 'c': 0.0}, {'h': 'The movie', 't': 'Paul Capellani', 'r': 'play', 'c': 0.0}, {'h': '""Camille', 't': 'Alice Gale', 'r': 'play', 'c': 0.0}, {'h': '""Camille', 't': 'David Carradine', 'r': 'play', 'c': 0.0}, {'h': '""Camille', 't': 'Paul Capellani', 'r': 'play', 'c': 0.0}, {'h': 'several actors', 't': 'starring roles', 'r': 'play', 'c': 0.0}, {'h': 'several actors', 't': 'Rudolph Valentino', 'r': 'play', 'c': 0.0}, {'h': 'several actors', 't': 'Paul Capellani', 'r': 'play', 'c': 0.0}, {'h': 'several actors', 't': 'David Carradine', 'r': 'play', 'c': 0.0}, {'h': 'several actors', 't': 'Alice Gale', 'r': 'play', 'c': 0.0}, {'h': 'several actors', 't': 'Robert Taylor', 'r': 'play', 'c': 0.0}, {'h': '""Camille', 't': 'starring roles', 'r': 'play', 'c': 0.0}, {'h': '""Camille', 't': 'Rudolph Valentino', 'r': 'play', 'c': 0.0}, {'h': 'The movie', 't': 'Joseph M. Schenck', 'r': 'produce', 'c': 0.0}]","The movie ""Camille"" has had several actors play starring roles including Robert Taylor, Rudolph Valentino, David Carradine, Alice Gale, and Paul Capellani. The movie was produced by Joseph M. Schenck."
6,"[{'h': 'Enough', 't': 'Patty Loveless', 'r': 'perform', 'c': 0.0}, {'h': 'Enough', 't': 'Becky G', 'r': 'perform', 'c': 0.0}, {'h': 'Enough', 't': 'Bad Company', 'r': 'perform', 'c': 0.0}, {'h': 'Enough', 't': 'Supergroove', 'r': 'perform', 'c': 0.0}, {'h': 'Enough', 't': 'J. Cole', 'r': 'perform', 'c': 0.0}, {'h': 'Enough', 't': 'several artists', 'r': 'perform', 'c': 0.0}, {'h': 'a song', 't': 'several artists', 'r': 'perform', 'c': 0.0}, {'h': 'a song', 't': 'Becky G', 'r': 'perform', 'c': 0.0}, {'h': 'a song', 't': 'J. Cole', 'r': 'perform', 'c': 0.0}, {'h': 'a song', 't': 'Bad Company', 'r': 'perform', 'c': 0.0}, {'h': 'a song', 't': 'Supergroove', 'r': 'perform', 'c': 0.0}, {'h': 'a song', 't': 'Patty Loveless', 'r': 'perform', 'c': 0.0}, {'h': 'The song', 't': 'Brett Anderson', 'r': 'write', 'c': 0.0}, {'h': 'Each artist', 't': 'the versatility', 'r': 'showcase', 'c': 0.0}, {'h': 'their own unique take', 't': 'the composition', 'r': 'showcase', 'c': 0.0}, {'h': 'the song', 't': 'the versatility', 'r': 'showcase', 'c': 0.0}, {'h': 'Each artist', 't': 'the composition', 'r': 'showcase', 'c': 0.0}, {'h': 'their own unique take', 't': 'the versatility', 'r': 'showcase', 'c': 0.0}, {'h': 'the song', 't': 'the composition', 'r': 'showcase', 'c': 0.0}, {'h': 'Becky G', 't': 'J. Cole', 'r': 'contribute', 'c': 0.0}, {'h': 'Becky G', 't': 'their own vocals', 'r': 'contribute', 'c': 0.0}, {'h': 'Becky G', 't': 'Bad Company', 'r': 'contribute', 'c': 0.0}, {'h': 'Becky G', 't': 'the track', 'r': 'contribute', 'c': 0.0}, {'h': 'Becky G', 't': 'a more instrumental interpretation', 'r': 'contribute', 'c': 0.0}, {'h': 'Becky G', 't': 'a more instrumental interpretation', 'r': 'opt', 'c': 0.0}, {'h': 'Patty Loveless', 't': 'J. Cole', 'r': 'contribute', 'c': 0.0}, {'h': 'Patty Loveless', 't': 'their own vocals', 'r': 'contribute', 'c': 0.0}, {'h': 'Patty Loveless', 't': 'the track', 'r': 'contribute', 'c': 0.0}, {'h': 'Patty Loveless', 't': 'Bad Company', 'r': 'contribute', 'c': 0.0}, {'h': 'Patty Loveless', 't': 'a more instrumental interpretation', 'r': 'contribute', 'c': 0.0}, {'h': 'Patty Loveless', 't': 'a more instrumental interpretation', 'r': 'opt', 'c': 0.0}, {'h': 'Supergroove', 't': 'their own vocals', 'r': 'contribute', 'c': 0.0}, {'h': 'Supergroove', 't': 'the track', 'r': 'contribute', 'c': 0.0}, {'h': 'Supergroove', 't': 'Bad Company', 'r': 'contribute', 'c': 0.0}, {'h': 'Supergroove', 't': 'J. Cole', 'r': 'contribute', 'c': 0.0}, {'h': 'Supergroove', 't': 'a more instrumental interpretation', 'r': 'opt', 'c': 0.0}, {'h': 'Supergroove', 't': 'a more instrumental interpretation', 'r': 'contribute', 'c': 0.0}, {'h': 'the track', 't': 'a more instrumental interpretation', 'r': 'opt', 'c': 0.0}, {'h': 'Bad Company', 't': 'a more instrumental interpretation', 'r': 'opt', 'c': 0.0}, {'h': 'their own vocals', 't': 'a more instrumental interpretation', 'r': 'opt', 'c': 0.0}, {'h': 'J. Cole', 't': 'a more instrumental interpretation', 'r': 'opt', 'c': 0.0}, {'h': 'the variations', 't': 'something', 'r': 'bring', 'c': 0.0}, {'h': 'the variations', 't': 'Enough', 'r': 'bring', 'c': 0.0}, {'h': 'the variations', 't': 'the performance', 'r': 'bring', 'c': 0.0}, {'h': 'the variations', 't': 'the world', 'r': 'bring', 'c': 0.0}, {'h': 'the variations', 't': 'Enough', 'r': 'get', 'c': 0.0}, {'h': 'the variations', 't': 'the world', 'r': 'belove', 'c': 0.0}, {'h': 'the variations', 't': 'the world', 'r': 'tune', 'c': 0.0}, {'h': 'the variations', 't': 'the world', 'r': 'endure', 'c': 0.0}, {'h': 'the variations', 't': 'the world', 'r': 'get', 'c': 0.0}, {'h': 'the variations', 't': 'music', 'r': 'endure', 'c': 0.0}, {'h': 'style', 't': 'something', 'r': 'bring', 'c': 0.0}, {'h': 'the variations', 't': 'music', 'r': 'bring', 'c': 0.0}, {'h': 'the variations', 't': 'music', 'r': 'get', 'c': 0.0}, {'h': 'the variations', 't': 'music', 'r': 'tune', 'c': 0.0}, {'h': 'style', 't': 'Enough', 'r': 'bring', 'c': 0.0}, {'h': 'the variations', 't': 'music', 'r': 'belove', 'c': 0.0}, {'h': 'style', 't': 'the performance', 'r': 'bring', 'c': 0.0}, {'h': 'style', 't': 'Enough', 'r': 'get', 'c': 0.0}, {'h': 'style', 't': 'the world', 'r': 'bring', 'c': 0.0}, {'h': 'style', 't': 'the world', 'r': 'get', 'c': 0.0}, {'h': 'style', 't': 'the world', 'r': 'tune', 'c': 0.0}, {'h': 'style', 't': 'music', 'r': 'bring', 'c': 0.0}, {'h': 'style', 't': 'the world', 'r': 'endure', 'c': 0.0}, {'h': 'style', 't': 'the world', 'r': 'belove', 'c': 0.0}, {'h': 'style', 't': 'music', 'r': 'tune', 'c': 0.0}, {'h': 'style', 't': 'music', 'r': 'get', 'c': 0.0}, {'h': 'style', 't': 'music', 'r': 'endure', 'c': 0.0}, {'h': 'style', 't': 'music', 'r': 'belove', 'c': 0.0}, {'h': 'each artist', 't': 'something', 'r': 'bring', 'c': 0.0}, {'h': 'each artist', 't': 'the performance', 'r': 'bring', 'c': 0.0}, {'h': 'each artist', 't': 'Enough', 'r': 'bring', 'c': 0.0}, {'h': 'each artist', 't': 'Enough', 'r': 'get', 'c': 0.0}, {'h': 'each artist', 't': 'the world', 'r': 'bring', 'c': 0.0}, {'h': 'each artist', 't': 'the world', 'r': 'get', 'c': 0.0}, {'h': 'each artist', 't': 'the world', 'r': 'tune', 'c': 0.0}, {'h': 'each artist', 't': 'the world', 'r': 'belove', 'c': 0.0}, {'h': 'each artist', 't': 'the world', 'r': 'endure', 'c': 0.0}, {'h': 'each artist', 't': 'music', 'r': 'bring', 'c': 0.0}, {'h': 'each artist', 't': 'music', 'r': 'get', 'c': 0.0}, {'h': 'each artist', 't': 'music', 'r': 'endure', 'c': 0.0}, {'h': 'each artist', 't': 'music', 'r': 'tune', 'c': 0.0}, {'h': 'each artist', 't': 'music', 'r': 'belove', 'c': 0.0}, {'h': 'something', 't': 'Enough', 'r': 'get', 'c': 0.0}, {'h': 'something', 't': 'the world', 'r': 'get', 'c': 0.0}, {'h': 'something', 't': 'the world', 'r': 'tune', 'c': 0.0}, {'h': 'something', 't': 'the world', 'r': 'endure', 'c': 0.0}, {'h': 'something', 't': 'the world', 'r': 'belove', 'c': 0.0}, {'h': 'something', 't': 'music', 'r': 'endure', 'c': 0.0}, {'h': 'something', 't': 'music', 'r': 'get', 'c': 0.0}, {'h': 'something', 't': 'music', 'r': 'belove', 'c': 0.0}, {'h': 'the performance', 't': 'Enough', 'r': 'get', 'c': 0.0}, {'h': 'something', 't': 'music', 'r': 'tune', 'c': 0.0}, {'h': 'the performance', 't': 'the world', 'r': 'get', 'c': 0.0}, {'h': 'the performance', 't': 'the world', 'r': 'belove', 'c': 0.0}, {'h': 'the performance', 't': 'the world', 'r': 'tune', 'c': 0.0}, {'h': 'the performance', 't': 'music', 'r': 'belove', 'c': 0.0}, {'h': 'the performance', 't': 'the world', 'r': 'endure', 'c': 0.0}, {'h': 'the performance', 't': 'music', 'r': 'tune', 'c': 0.0}, {'h': 'the performance', 't': 'music', 'r': 'endure', 'c': 0.0}, {'h': 'the performance', 't': 'music', 'r': 'get', 'c': 0.0}, {'h': 'Enough', 't': 'music', 'r': 'tune', 'c': 0.0}, {'h': 'Enough', 't': 'music', 'r': 'belove', 'c': 0.0}, {'h': 'Enough', 't': 'the world', 'r': 'belove', 'c': 0.0}, {'h': 'Enough', 't': 'the world', 'r': 'endure', 'c': 0.0}, {'h': 'Enough', 't': 'music', 'r': 'endure', 'c': 0.0}, {'h': 'Enough', 't': 'the world', 'r': 'tune', 'c': 0.0}]","""Can't Get Enough"" is a song that has been performed by several artists including Becky G, Patty Loveless, Bad Company, J. Cole, and Supergroove. The song was written by Brett Anderson. Each artist has their own unique take on the song, showcasing the versatility of the composition. Becky G, Patty Loveless, and Supergroove have all contributed their own vocals to the track, while J. Cole and Bad Company have opted for a more instrumental interpretation. Despite the variations in style, each artist brings something new and exciting to the performance of ""Can't Get Enough,"" making it a beloved and enduring tune in the world of music."
7,"[{'h': 'The song', 't': 'both Rodney Jerkins', 'r': 'let', 'c': 0.0}, {'h': 'The song', 't': 'both Rodney Jerkins', 'r': 'go', 'c': 0.0}, {'h': 'The song', 't': 'both Rodney Jerkins', 'r': 'produce', 'c': 0.0}, {'h': 'The song', 't': 'Maurice White', 'r': 'go', 'c': 0.0}, {'h': 'The song', 't': 'Maurice White', 'r': 'let', 'c': 0.0}, {'h': 'The song', 't': 'Maurice White', 'r': 'produce', 'c': 0.0}, {'h': 'The artists', 't': 'the creation', 'r': 'contribute', 'c': 0.0}, {'h': 'The artists', 't': 'the song', 'r': 'contribute', 'c': 0.0}, {'h': 'Anthony Hamilton', 't': 'the creation', 'r': 'contribute', 'c': 0.0}, {'h': 'Lucinda Williams', 't': 'the creation', 'r': 'contribute', 'c': 0.0}, {'h': 'Anthony Hamilton', 't': 'the song', 'r': 'contribute', 'c': 0.0}, {'h': 'Lucinda Williams', 't': 'the song', 'r': 'contribute', 'c': 0.0}, {'h': 'Walter Afanasieff', 't': 'the writer', 'r': 'credit', 'c': 0.0}, {'h': 'Walter Afanasieff', 't': 'the song', 'r': 'credit', 'c': 0.0}]","The song ""Can't Let Go"" has been produced by both Rodney Jerkins and Maurice White. The artists Anthony Hamilton and Lucinda Williams have both contributed to the creation of the song. Additionally, Walter Afanasieff is credited as the writer of the song."
8,"[{'h': 'The movie', 't': 'its production', 'r': 'contribute', 'c': 0.0}, {'h': 'Candy', 't': 'artists', 'r': 'boast', 'c': 0.0}, {'h': 'Candy', 't': 'an impressive lineup', 'r': 'boast', 'c': 0.0}, {'h': 'The movie', 't': 'artists', 'r': 'boast', 'c': 0.0}, {'h': 'The movie', 't': 'its production', 'r': 'boast', 'c': 0.0}, {'h': 'The movie', 't': 'an impressive lineup', 'r': 'boast', 'c': 0.0}, {'h': 'an impressive lineup', 't': 'its production', 'r': 'contribute', 'c': 0.0}, {'h': 'artists', 't': 'its production', 'r': 'contribute', 'c': 0.0}, {'h': 'Candy', 't': 'its production', 'r': 'boast', 'c': 0.0}, {'h': 'Candy', 't': 'its production', 'r': 'contribute', 'c': 0.0}, {'h': 'Don', 't': 'a producer', 'r': 'serve', 'c': 0.0}, {'h': 'cinematography', 't': 'a producer', 'r': 'serve', 'c': 0.0}, {'h': 'Giuseppe Rotunno', 't': 'a producer', 'r': 'serve', 'c': 0.0}, {'h': 'Rodney Jerkins', 't': ""the film's music"", 'r': 'compose', 'c': 0.0}, {'h': 'Cameo', 't': ""Candy's production"", 'r': 'credit', 'c': 0.0}, {'h': 'Cameo', 't': 'artists', 'r': 'credit', 'c': 0.0}, {'h': 'Cameo', 't': ""Candy's production"", 'r': 'contribute', 'c': 0.0}, {'h': 'H.O.T.', 't': 'artists', 'r': 'credit', 'c': 0.0}, {'h': 'H.O.T.', 't': ""Candy's production"", 'r': 'contribute', 'c': 0.0}, {'h': 'H.O.T.', 't': ""Candy's production"", 'r': 'credit', 'c': 0.0}, {'h': 'Paolo Nutini', 't': 'artists', 'r': 'credit', 'c': 0.0}, {'h': 'Paolo Nutini', 't': ""Candy's production"", 'r': 'contribute', 'c': 0.0}, {'h': 'Paolo Nutini', 't': ""Candy's production"", 'r': 'credit', 'c': 0.0}, {'h': 'Jessica Sutta', 't': 'artists', 'r': 'credit', 'c': 0.0}, {'h': 'Jessica Sutta', 't': ""Candy's production"", 'r': 'credit', 'c': 0.0}, {'h': 'Jessica Sutta', 't': ""Candy's production"", 'r': 'contribute', 'c': 0.0}, {'h': 'Ken Hirai', 't': 'artists', 'r': 'credit', 'c': 0.0}, {'h': 'Ken Hirai', 't': ""Candy's production"", 'r': 'credit', 'c': 0.0}, {'h': 'Ken Hirai', 't': ""Candy's production"", 'r': 'contribute', 'c': 0.0}, {'h': 'Doja Cat', 't': 'artists', 'r': 'credit', 'c': 0.0}, {'h': 'Doja Cat', 't': ""Candy's production"", 'r': 'credit', 'c': 0.0}, {'h': 'Doja Cat', 't': ""Candy's production"", 'r': 'contribute', 'c': 0.0}, {'h': 'Koda Kumi', 't': 'artists', 'r': 'credit', 'c': 0.0}, {'h': 'Koda Kumi', 't': ""Candy's production"", 'r': 'contribute', 'c': 0.0}, {'h': 'Koda Kumi', 't': ""Candy's production"", 'r': 'credit', 'c': 0.0}, {'h': 'artists', 't': ""Candy's production"", 'r': 'contribute', 'c': 0.0}]","The movie Candy boasts an impressive lineup of artists who have contributed to its production. Giuseppe Rotunno is responsible for cinematography, while Don Was served as a producer. The movie has a diverse team of writers including Dave Katz, Pharrell Williams, Maurice Starr, Viktoria Hansen, Luke Davies, Burt Bacharach, and Gary Barlow. Rodney Jerkins composed the film's music. Cameo, H.O.T., Paolo Nutini, Jessica Sutta, Ken Hirai, Doja Cat, and Koda Kumi are also credited as artists who have contributed to Candy's production."
9,"[{'h': 'a movie', 't': 'David Klein', 'r': 'feature', 'c': 0.0}, {'h': 'a movie', 't': 'Colman Domingo', 'r': 'feature', 'c': 0.0}, {'h': 'a movie', 't': 'its cast', 'r': 'feature', 'c': 0.0}, {'h': 'a movie', 't': 'part', 'r': 'feature', 'c': 0.0}, {'h': 'a movie', 't': 'Virginia Madsen', 'r': 'feature', 'c': 0.0}, {'h': 'Candyman', 't': 'its cast', 'r': 'feature', 'c': 0.0}, {'h': 'Candyman', 't': 'Virginia Madsen', 'r': 'feature', 'c': 0.0}, {'h': 'Candyman', 't': 'David Klein', 'r': 'feature', 'c': 0.0}, {'h': 'Candyman', 't': 'Colman Domingo', 'r': 'feature', 'c': 0.0}, {'h': 'Candyman', 't': 'part', 'r': 'feature', 'c': 0.0}, {'h': 'The film', 't': 'Siouxsie Sioux', 'r': 'produce', 'c': 0.0}, {'h': 'The film', 't': 'Siouxsie Sioux', 'r': 'write', 'c': 0.0}, {'h': 'Linda Perry', 't': 'Siouxsie Sioux', 'r': 'write', 'c': 0.0}, {'h': 'The film', 't': 'its script', 'r': 'produce', 'c': 0.0}, {'h': 'its script', 't': 'Siouxsie Sioux', 'r': 'write', 'c': 0.0}, {'h': 'The film', 't': 'Linda Perry', 'r': 'produce', 'c': 0.0}]","Candyman is a movie that features Virginia Madsen, David Klein, and Colman Domingo as part of its cast. The film was produced by Linda Perry, and its script was written by Siouxsie Sioux."
